make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,brand
Audi Fox,6295,23,3.0,2.5,11,2070,174,36,97,3.7,Audi
Buick Century,4816,20,3.0,4.5,16,3250,196,40,196,2.93,Buick
Buick LeSabre,5788,18,3.0,4.0,21,3670,218,43,231,2.73,Buick
Buick Skylark,4082,19,3.0,3.5,13,3400,200,42,231,3.08,Buick
Datsun 210,4589,35,5.0,2.0,8,2020,165,32,85,3.7,Datsun
Datsun 810,8129,21,4.0,2.5,8,2750,184,38,146,3.55,Datsun
Ford Mustang,4187,21,3.0,2.0,10,2650,179,43,140,3.08,Ford
Honda Civic,4499,28,4.0,2.5,5,1760,149,34,91,3.3,Honda
Merc. Bobcat,3829,22,4.0,3.0,9,2580,169,39,140,2.73,Merc.
Merc. Cougar,5379,14,4.0,3.5,16,4060,221,48,302,2.75,Merc.
Merc. Marquis,6165,15,3.0,3.5,23,3720,212,44,302,2.26,Merc.
Merc. XR-7,6303,14,4.0,3.0,16,4130,217,45,302,2.75,Merc.
Merc. Zephyr,3291,20,3.0,3.5,17,2830,195,43,140,3.08,Merc.
Olds Cutl Supr,5172,19,3.0,2.0,16,3310,198,42,231,2.93,Olds
Olds Cutlass,4733,19,3.0,4.5,16,3300,198,42,231,2.93,Olds
Plym. Horizon,4482,25,3.0,4.0,17,2200,165,36,105,3.37,Plym.
Plym. Volare,4060,18,2.0,5.0,16,3330,201,44,225,3.23,Plym.
Pont. Catalina,5798,18,4.0,4.0,20,3700,214,42,231,2.73,Pont.
Subaru,3798,35,5.0,2.5,11,2050,164,36,97,3.81,Subaru
Toyota Corolla,3748,31,5.0,3.0,9,2200,165,35,97,3.21,Toyota
Toyota Corona,5719,18,5.0,2.0,11,2670,175,36,134,3.05,Toyota
VW Rabbit,4697,25,4.0,3.0,15,1930,155,35,89,3.78,VW
VW Scirocco,6850,25,4.0,2.0,16,1990,156,36,97,3.78,VW
